Title,My,Calculated,Performance,Cinematography,Script,Plot,Mood,Source,Title type,Directors,AVG rating,IMDb Rating,Rotten Tom.,Metacritic,Runtime (mins),Year,Genres,# of IMDb votes,IMDb Top 250,1001 Must See…,Desire to see (A-F grading),Female dir.,Bechdel,LGBTQ Russo,Good Blu-ray,Foreign dir.,Netflix/Hulu streaming,LFPL,Wild & Woolly,description,US Release Date (month/day/year),URL,Created,Modified,MIDZ,1001 position,Female
Bob le Flambeur,,0,,,,,,,Feature Film,Jean-Pierre Melville,78,7.8,,,98,1956,crime,5312,,Y,,,,,,,,,,,8/24/1956,http://www.imdb.com/title/tt0047892/,,,718,558,
Bob Roberts,,0,,,,,,,Feature Film,Tim Robbins,69,6.9,,,102,1992,comedy,10259,,,,,,,,,,,,,9/4/1992,http://www.imdb.com/title/tt0103850/,Sun Nov  5 11:00:00 2000,Wed Aug 10 16:04:02 2011,2106,,
Bobby Fischer Against the World,,0,,,,,,,Documentary,Liz Garbus,73,7.3,,,93,2011,"documentary, biography, history, sport",3199,,,,Y,,,,,,,,,2011-01,http://www.imdb.com/title/tt1777551/,Fri Jul  1 12:00:00 2011,Wed Aug 10 16:04:04 2011,2693,,
Bobby Jones: Stroke of Genius,,0,,,,,,,Feature Film,Rowdy Herrington,64,6.4,,,120,2004,"biography, drama, romance, sport",2799,,,,,,,,,,,,,4/30/2004,http://www.imdb.com/title/tt0375104/,Mon Oct 18 12:00:00 2004,Wed Aug 10 16:04:03 2011,2447,,
Body Heat,,0,,,,,,,Feature Film,Lawrence Kasdan,73,7.3,,,113,1981,"crime, drama, thriller",17283,,Y,,,,,,,,,,,8/28/1981,http://www.imdb.com/title/tt0082089/,,,391,463,
Bollywood/Hollywood,,0,,,,,,,Feature Film,Deepa Mehta,44.6666666666667,5.9,40,35,105,2002,"romance, comedy, drama",1944,,,,Y,,,,Ind. Can.,Ne,AzDVD Sony,,,,,,,1021,,
Bolt,8,0,,,,,,,Feature Film,"Byron Howard, Chris Williams",70,7,,,96,2008,"animation, adventure, comedy, family, sci_fi",99274,,,,,,,,,,,,,11/17/2008,http://www.imdb.com/title/tt0397892/,Tue Mar 24 12:00:00 2009,Wed Aug 10 16:04:04 2011,1628,,
Bonnie and Clyde,,0,,,,,,,Feature Film,Arthur Penn,80,8,,,112,1967,"biography, crime, drama, romance",60588,,Y,,,,,,,,,,,8/4/1967,http://www.imdb.com/title/tt0061418/,,,567,601,
Boogie Nights,?,0,,,,,,,Feature Film,Paul Thomas Anderson,78,7.8,,,155,1997,drama,131059,,Y,,,,,,,,,,1001 2013 readded.,9/11/1997,http://www.imdb.com/title/tt0118749/,,,172,89,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,8,0,,,,,,,Feature Film,Larry Charles,73,7.3,,,84,2006,comedy,233498,,,,,,,,,,,,"Tricia had free passes, and only she and I were around to go. Hilarious movie, but I'd have felt ashamed if I had paid to see it. Hollywood theater.

DATE: 2006-11-02",8/4/2006,http://www.imdb.com/title/tt0443453/,Fri Nov  3 11:00:00 2006,Wed Aug 10 16:04:04 2011,1543,,
Bored to Death,,0,,,,,,,TV Series,,77,7.7,,,30,2009,"comedy, crime, mystery",21968,,,,,,,,,,,,,9/20/2009,http://www.imdb.com/title/tt1255913/,Mon Mar 21 12:00:00 2011,Wed Aug 10 16:04:04 2011,2666,,
Born Into Brothels: Calcutta's Red Light Kids,10,0,,,,,,,Documentary,"Zana Briski, Ross Kauffman",83.3333333333333,7.6,96,78,85,2004,documentary,6115,,,C,Y,3,,,,,,,"Not for children to watch because of the profanity (mothers yelling at the children). Very inspiring and well done movie. Hollywood DVD rental (nice find, Trix!).

DATE: 2006-02-26",1/17/2004,http://www.imdb.com/title/tt0388789/,Tue Feb 28 11:00:00 2006,Wed Aug 10 16:04:03 2011,1516,,
Boudu Saved from Drowning,,0,,,,,,,Feature Film,Jean Renoir,75,7.5,,,85,1932,comedy,2782,,Y,,,,,,,H+,,,,11/11/1932,http://www.imdb.com/title/tt0022718/,,,954,903,
Bound,,0,,,,,,,Feature Film,"Andy Wachowski, Lana Wachowski",75.6666666666667,7.4,92,61,108,1996,"crime, drama, thriller",33483,,,B,,3,?,,,DVD,,DV,lesbian,,,11/15/2013,,2925,,
Bowfinger,7,0,,,,,,,Feature Film,Frank Oz,71.3333333333333,6.3,80,71,97,1999,comedy,48091,,,C,,,,,,,,,"On WGN, edited, of course.

DATE: 2009-08-28",8/13/1999,http://www.imdb.com/title/tt0131325/,Fri Aug 28 12:00:00 2009,Wed Aug 10 16:04:04 2011,1671,,
Bowling for Columbine,,0,,,,,,,Documentary,Michael Moore,82.6666666666667,8,96,72,120,2003,"documentary, history",103537,,Y,,,,,,,,,,1001 2013,,,10/14/2013,,2854,,
Box of Moon Light,,0,,,,,,,Feature Film,Tom DiCillo,70,7,,,112,1996,"comedy, drama",3836,,,,,,,,,,,,,8/29/1996,http://www.imdb.com/title/tt0115738/,Wed May  1 12:00:00 2002,Wed Aug 10 16:04:03 2011,2241,,
Boy A,8,0,,,,,,,Feature Film,John Crowley,76,7.6,,,106,2007,drama,27297,,,,,,,,,,,,,9/8/2007,http://www.imdb.com/title/tt1078188/,Thu Feb 10 11:00:00 2011,Wed Aug 10 16:04:04 2011,1838,,
Boyz n the Hood,?,0,,,,,,,Feature Film,John Singleton,77,7.7,,,112,1991,"crime, drama",63410,,Y,B,,3,,,,Ne,,,,7/2/1991,http://www.imdb.com/title/tt0101507/,,,246,119,
BrÃ¼no,7,0,,,,,,,Feature Film,Larry Charles,59,5.9,,,81,2009,comedy,94643,,,,,,,,,,,,,6/25/2009,http://www.imdb.com/title/tt0889583/,Wed Dec 30 11:00:00 2009,Wed Aug 10 16:04:04 2011,1732,,
Braveheart,?,0,,,,,,,Feature Film,Mel Gibson,77.6666666666667,8.4,81,68,177,1995,"action, biography, drama, history, war",462052,Y,Y,B,,2,,,,Ne,,,,5/18/1995,http://www.imdb.com/title/tt0112573/,,,190,26,
Brazil,8,85,9,9,9,8,8,,Feature Film,Terry Gilliam,80,8,,,132,1985,"drama, fantasy, sci_fi",114144,,Y,,,,,,,,,,,2/20/1985,http://www.imdb.com/title/tt0088846/,,,334,343,
Breakfast at Tiffany's,?,0,,,,,,,Feature Film,Blake Edwards,77,7.7,,,115,1961,"comedy, drama, romance",79966,,Y,,,,,,,,,,,10/5/1961,http://www.imdb.com/title/tt0054698/,,,656,578,
Breaking Away,,0,,,,,,,Feature Film,Peter Yates,76,7.6,,,101,1979,"comedy, drama, sport",13002,,Y,,,,,,,,,,,7/13/1979,http://www.imdb.com/title/tt0078902/,,,411,384,
Breaking Bad,9,92,9,9,9,8,10,,TV Series,,95,9.5,,,45,2008,"crime, drama, thriller",338901,,,,,,,,,,,,,1/20/2008,http://www.imdb.com/title/tt0903747/,Tue Oct  1 15:56:26 2013,Tue Oct  1 15:56:26 2013,2082,,
Breaking the Waves,9,0,,,,,,,Feature Film,Lars von Trier,78,7.8,,,159,1996,"drama, romance",34769,,Y,,,,,,,,,,,5/18/1996,http://www.imdb.com/title/tt0115751/,,,32,87,
Breast Men,6,0,,,,,,,TV Movie,Lawrence O'Neil,57,5.7,,,95,1997,"comedy, drama",3607,,,,,,,,,,,,,12/13/1997,http://www.imdb.com/title/tt0133643/,Wed Feb 14 11:00:00 2001,Wed Aug 10 16:04:03 2011,1172,,
Breathless,,0,,,,,,,Feature Film,Jean-Luc Godard,87.5,7.9,96,n/a,90,1960,"crime, drama",35560,,Y,,,0,,,,,,,,3/16/1960,http://www.imdb.com/title/tt0053472/,,,670,569,
Brewster's Millions,9,0,,,,,,,Feature Film,Walter Hill,62,6.2,,,97,1985,comedy,21625,,,,,,,,,,,,,5/22/1985,http://www.imdb.com/title/tt0088850/,Sun Apr 10 12:00:00 2011,Wed Aug 10 16:04:04 2011,1861,,
Bride Flight,,0,,,,,,,Feature Film,Ben Sombogaart,68,6.8,,,130,2008,drama,1729,,,,,,,,,,,,,10/15/2008,http://www.imdb.com/title/tt1094241/,Sun Jan 22 10:47:49 2012,Sun Jan 22 10:47:49 2012,2725,,
Bridegroom,,0,,,,,,,Documentary,Linda Bloodworth-Thomason,82.6666666666667,7.5,88,85,79,2013,documentary,891,,,B,Y,3?,3?,,,Ne,LFPL High Midd,no,,,,,,2950,,
Bridesmaids,8,0,,,,,,,Feature Film,Paul Feig,68,6.8,,,125,2011,"comedy, romance",149361,,Y,,,3,,,,,,,,4/28/2011,http://www.imdb.com/title/tt1478338/,,,63,1003,
Bridge to Terabithia,8,0,,,,,,,Feature Film,Gabor Csupo,71,7.1,,,96,2007,"adventure, drama, family, fantasy",76639,,,,,,,,,,,,"W/ Joseph & Betsy @ Green Hills. Was good story, but too Disney.

DATE: 2007-03-04",2/15/2007,http://www.imdb.com/title/tt0398808/,Mon Mar  5 11:00:00 2007,Wed Aug 10 16:04:04 2011,1561,,
Bridget Jones: The Edge of Reason,7,0,,,,,,,Feature Film,Beeban Kidron,57,5.7,,,108,2004,"comedy, romance",49499,,,,,,,,,,,,Saw at Green Hills with Megs and Janelle.  Just like to first movie.,11/8/2004,http://www.imdb.com/title/tt0317198/,Wed Nov 24 11:00:00 2004,Wed Aug 10 16:04:03 2011,1455,,
Bridget Jones's Diary,,0,,,,,,,Feature Film,Sharon Maguire,67,6.7,,,97,2001,"comedy, drama, romance",114702,,,,Y,,,,,,,,,36985,http://www.imdb.com/title/tt0243155/,,,1114,,
Brief Encounter,,0,,,,,,,Feature Film,David Lean,81,8.1,,,86,1945,"romance, drama",19732,,Y,,,,,,,,,,,11/26/1945,http://www.imdb.com/title/tt0037558/,,,844,785,
Bright Star,,0,,,,,,,Feature Film,Jane Campion,69,6.9,,,119,2009,"biography, drama, romance",15540,,,,Y,,,,New Z.,DVD,Az Vu,DVD,,,,,,1027,,
Brightness,,0,,,,,,,Feature Film,Souleymane CissÃ©,72,7.2,,,105,1987,"drama, fantasy",932,,Y,,,,,,,,,,,9/13/1987,http://www.imdb.com/title/tt0094349/,,,304,155,
Bring It On,,0,,,,,,,Feature Film,Peyton Reed,58,5.8,,,98,2000,"comedy, sport",54122,,,,,,,,,,,,,8/22/2000,http://www.imdb.com/title/tt0204946/,Mon Sep 10 12:00:00 2001,Wed Aug 10 16:04:02 2011,2167,,
Bring Me the Head of Alfredo Garcia,,0,,,,,,,Feature Film,Sam Peckinpah,75,7.5,,,112,1974,"action, crime, drama, thriller, western",9624,,Y,,,,,,,,,,,8/14/1974,http://www.imdb.com/title/tt0071249/,,,473,374,
Bringing Up Baby,,0,,,,,,,Feature Film,Howard Hawks,80,8,,,102,1938,"comedy, romance",33957,,Y,,,,,,,,,,,2/16/1938,http://www.imdb.com/title/tt0029947/,,,903,764,
Broadcast News,,0,,,,,,,Feature Film,James L. Brooks,71,7.1,,,133,1987,"comedy, drama, romance",16033,,Y,,,,,,,,,,,12/16/1987,http://www.imdb.com/title/tt0092699/,,,306,158,
Brokeback Mountain,10,0,,,,,,,Feature Film,Ang Lee,76,7.6,,,134,2005,"drama, romance",193496,,Y,,,,,,,Ne,,,"Kinda hard to pay attention w/ Kurt and Juan next to me. Not as bad as Jason and his new friend at Half Blood Prince last week, at least.

DATE: 2009-07-28",9/2/2005,http://www.imdb.com/title/tt0388795/,,,3,149,
Broken,8,0,,,,,,,Video,"Serge Becker, Peter Christopherson",68,6.8,,,20,1992,music,742,,,,,,,,,,,,,1992,http://www.imdb.com/title/tt0103885/,Mon May  6 19:33:57 2013,Mon May  6 19:33:57 2013,2027,,
Broken Blossoms or The Yellow Man and the Girl,7,73,8,8,6,8,7,DV 2002 Kino,Feature Film,D.W. Griffith,76,7.6,,,90,1919,"drama, romance",5305,,Y,recent,,,,,,,,,,5/13/1919,http://www.imdb.com/title/tt0009968/,,10/6/2013,123,888,
Bronson,7,0,,,,,,,Feature Film,Nicolas Winding Refn,72.6666666666667,7,77,71,92,2008,"action, biography, crime, drama",44219,,,,,?,,,,,,,,2008-10,http://www.imdb.com/title/tt1172570/,Sun Jul 22 21:47:09 2012,Sun Jul 22 21:47:09 2012,1939,,
Brother Bear,,0,,,,,,,Feature Film,"Aaron Blaise, Robert Walker",66,6.6,,,85,2003,"animation, adventure, family, fantasy",41611,,,,,,,,,,,,,10/20/2003,http://www.imdb.com/title/tt0328880/,Tue Aug  5 12:00:00 2003,Wed Aug 10 16:04:03 2011,2363,,
Brotherhood of the Wolf,9,90,9,9,8,10,9,DV 2008 Universal,Feature Film,Christophe Gans,70,7,,,142,2001,"action, history, horror",43779,,,,,1,,n/a,,,,,,1/31/2001,http://www.imdb.com/title/tt0237534/,Fri Jan 25 11:00:00 2002,Wed Aug 10 16:04:03 2011,2207,,
Brothers,,0,,,,,,,Feature Film,Susanne Bier,75,7.5,,,117,2004,"drama, war",7864,,,,Y,,,,,,,,,8/27/2004,http://www.imdb.com/title/tt0386342/,Fri Dec  4 11:00:00 2009,Wed Aug 10 16:04:03 2011,2562,,
Brothers,,0,,,,,,,Feature Film,Jim Sheridan,71,7.1,,,105,2009,"drama, thriller, war",62637,,,,,,,,,,,,,12/3/2009,http://www.imdb.com/title/tt0765010/,Mon Nov 30 11:00:00 2009,Wed Aug 10 16:04:03 2011,2561,,
Bruce Almighty,8,0,,,,,,,Feature Film,Tom Shadyac,66,6.6,,,101,2003,"comedy, drama, fantasy",202760,,,,,,,,,,,,,5/23/2003,http://www.imdb.com/title/tt0315327/,Mon May 19 12:00:00 2003,Wed Aug 10 16:04:03 2011,1370,,
Bruce Lee: A Warrior's Journey,9,0,,,,,,DV 2004 Warner,Documentary,"John Little, Bruce Lee",81.5,7.7,86,n/a,100,2000,"documentary, action, biography",1377,,,,,,,,,,,,"Saw it on AMC tonight.  Lee films and documentaries are always inspiring.

Newly released found footage of the tower scene for the unfinished Game of Death.",10/22/2000,http://www.imdb.com/title/tt0297814/,Tue Oct 19 12:00:00 2004,10/20/2013,2448,,
Bruce Lee: The Curse of the Dragon,,0,,,,,,DV 2004 Warner,,"Tom Kuhn, Fred Weintraub",62.5,6.8,57,n/a,90,1993,"documentary, action, biography",380,,,C,,,,,,,,,"A look at his death, and son Brandon Lee's.",,,10/20/2013,,2871,,
Bubba Ho-Tep,8,0,,,,,,,Feature Film,Don Coscarelli,71,7.1,,,92,2002,"comedy, drama, fantasy, horror, mystery",33647,,,,,,,,,,,,,6/9/2002,http://www.imdb.com/title/tt0281686/,Sat Dec 13 11:00:00 2003,Wed Aug 10 16:04:03 2011,1404,,
Buddha Collapsed Out Of Shame,,0,,,,,,,Feature Film,Hana Makhmalbaf,76,7,82,,81,2007,"drama, war",1251,,,,Y,,,,Iran,,,,,,,,,1088,,
Buddha Mountain,,0,,,,,,,Feature Film,Yu Li,66,6.6,n/a,n/a,105,2010,drama,362,,,,Y,,,,Chinese,,,,,,,11/14/2013,,2907,,
Buffalo '66,,0,,,,,,,Feature Film,Vincent Gallo,73,7.3,,,110,1998,"comedy, crime, drama, romance",27534,,Y,,,,,,,,,,,1/21/1998,http://www.imdb.com/title/tt0118789/,,,168,211,
Buffalo Soldiers,,0,,,,,,,Feature Film,Gregor Jordan,68,6.8,,,98,2001,"comedy, crime, drama, thriller, war",17834,,,,,,,,,,,,,9/8/2001,http://www.imdb.com/title/tt0252299/,Sat Sep 20 12:00:00 2003,Wed Aug 10 16:04:03 2011,2374,,
Bull Durham,,0,,,,,,,Feature Film,Ron Shelton,70,7,,,108,1988,"comedy, romance, sport",26822,,Y,,,,,,,,,,,6/15/1988,http://www.imdb.com/title/tt0094812/,,,296,164,
Bulletproof Monk,7,0,,,,,,,Feature Film,Paul Hunter,53,5.3,,,104,2003,"action, comedy, fantasy",34719,,,,,,,,,,,,,4/16/2003,http://www.imdb.com/title/tt0245803/,Fri Apr 25 12:00:00 2003,Wed Aug 10 16:04:03 2011,1367,,
Bunny and the Bull,7,0,,,,,,,Feature Film,Paul King,65,6.5,,,101,2009,comedy,3163,,,,,,,,,,,,,9/16/2009,http://www.imdb.com/title/tt1251725/,Sun Jun 19 12:00:00 2011,Wed Aug 10 16:04:04 2011,1878,,
Burn After Reading,8,0,,,,,,,Feature Film,"Ethan Coen, Joel Coen",70,7,,,96,2008,"comedy, crime, drama",183792,,,,,,,,,,,,"Hollywood with Kurt and David. A little too dark - made me doubt my own future fidelity!

DATE: 2008-09-14",8/27/2008,http://www.imdb.com/title/tt0887883/,Mon Jul 14 12:00:00 2008,Wed Aug 10 16:04:04 2011,1603,,
Bushwhacked,6,0,,,,,,,Feature Film,Greg Beeman,51,5.1,,,90,1995,"adventure, comedy, crime, family, mystery",3597,,,,,,,,,,,,,8/4/1995,http://www.imdb.com/title/tt0112602/,Fri Jan  1 11:00:00 2010,Wed Aug 10 16:04:04 2011,1733,,
Buster Keaton: A Hard Act to Follow,,0,,,,,,,Mini-Series,"Kevin Brownlow, David Gill",69,6.9,,,160,1987,"documentary, biography",362,,,,,,,,,,,,,9/30/1987,http://www.imdb.com/title/tt0172202/,Sun Mar 17 00:31:07 2013,Sun Mar 17 00:31:07 2013,2765,,
But I'm a Cheerleader,7,0,,,,,,,Feature Film,Jamie Babbit,62,6.2,,,85,1999,"comedy, drama, romance",15313,,,,,,,,,,,,,9/12/1999,http://www.imdb.com/title/tt0179116/,Sun Dec 21 11:00:00 2008,Wed Aug 10 16:04:04 2011,1614,,
Butch Cassidy and the Sundance Kid,8,0,,,,,,,Feature Film,George Roy Hill,82,8.2,,,110,1969,"adventure, biography, crime, western",98344,Y,Y,,,,,,,Ne,,,,9/23/1969,http://www.imdb.com/title/tt0064115/,,,87,549,
By the People: The Election of Barack Obama,,0,,,,,,,Documentary,"Amy Rice, Alicia Sams",61,6.1,,,116,2009,documentary,760,,,,Y,,,,,,,,,8/7/2009,http://www.imdb.com/title/tt1201658/,Wed Mar 10 11:00:00 2010,Wed Aug 10 16:04:04 2011,2599,,
Cabaret,,0,,,,,,,Feature Film,Bob Fosse,77,7.7,,,124,1972,"drama, musical",27411,,Y,C,,,,,,,,,,2/13/1972,http://www.imdb.com/title/tt0068327/,,,493,301,
CachÃ© (Hidden),,0,,,,,,,Feature Film,Michael Haneke,72,7.2,,,117,2005,"drama, mystery, thriller",40411,,,,,,,,,,,,,5/14/2005,http://www.imdb.com/title/tt0387898/,Wed Feb 27 06:01:41 2013,Wed Feb 27 06:01:41 2013,2757,,
Caddyshack,8,0,,,,,,,Feature Film,Harold Ramis,72,7.2,,,98,1980,"comedy, sport",60706,,,,,,,,,,,,,7/25/1980,http://www.imdb.com/title/tt0080487/,Sun Apr  1 12:00:00 2001,Wed Aug 10 16:04:03 2011,1190,,
Cairo Time,,0,,,,,,,Feature Film,Ruba Nadda,71.3333333333333,6.6,81,67,90,2009,"drama, romance",3535,,,,Y,,,,Can. (Arab),Ne,AzBlu,DVD,,,,,,1112,,
Cal,8,0,,,,,,,Feature Film,Pat O'Connor,65,6.5,,,102,1984,"drama, thriller, romance",956,,,,,,,,,,,,,8/24/1984,http://www.imdb.com/title/tt0087019/,Sun May 29 12:00:00 2011,Wed Aug 10 16:04:04 2011,1868,,
Caldera,8,0,,,,,,,Short Film,Evan Viera,70,7,,,12,2012,"animation, drama, fantasy",58,,,,,,,,,,,,,3/11/2012,http://www.imdb.com/title/tt2124759/,Fri Apr  5 18:13:57 2013,Fri Apr  5 18:13:57 2013,2000,,
Calendar Girls,,0,,,,,,,Feature Film,Nigel Cole,68,6.8,,,108,2003,"comedy, drama",15474,,,,,,,,,,,,,8/9/2003,http://www.imdb.com/title/tt0337909/,Fri Sep 12 12:00:00 2003,Wed Aug 10 16:04:03 2011,2368,,
Californication: In Utero,9,0,,,,,,,TV Episode,David Von Ancken,79,7.9,,,,2007,"comedy, drama",464,,,,,,,,,,,,,11/30/2008,http://www.imdb.com/title/tt1321561/,Fri Dec 18 11:00:00 2009,Wed Aug 10 16:04:04 2011,1725,,
Calle 54,,0,,,,,,,Documentary,Fernando Trueba,68,6.8,,,105,2000,"documentary, music",566,,,,,,,,,,,,,9/8/2000,http://www.imdb.com/title/tt0260775/,Sun May  6 12:00:00 2001,Wed Aug 10 16:04:02 2011,2136,,
Camille,,0,,,,,,,Feature Film,George Cukor,74,7.4,,,109,1936,"drama, romance",4232,,Y,,,,,,,,,,,12/12/1936,http://www.imdb.com/title/tt0028683/,,,923,914,
Camp,9,0,,,,,,,Feature Film,Todd Graff,62,6.2,,,114,2003,"comedy, musical, drama",4438,,,,,,,,,,,,"Nathan had it on VHS.

DATE: 2008-01-29",1/21/2003,http://www.imdb.com/title/tt0342167/,Tue Jan 29 11:00:00 2008,Wed Aug 10 16:04:04 2011,1588,,
Can't Hardly Wait,8,0,,,,,,,Feature Film,"Harry Elfont, Deborah Kaplan",63,6.3,,,100,1998,"comedy, romance",30759,,,,,,,,,,,,,6/12/1998,http://www.imdb.com/title/tt0127723/,Tue Jul 24 12:00:00 2001,Wed Aug 10 16:04:03 2011,1241,,
Capitalism: A Love Story,8,0,,,,,,,Documentary,Michael Moore,73,7.3,,,127,2009,documentary,27675,,,,,,,,,,,,,9/6/2009,http://www.imdb.com/title/tt1232207/,Mon Apr  5 12:00:00 2010,Wed Aug 10 16:04:04 2011,1770,,
Capote,9,0,,,,,,,Feature Film,Bennett Miller,74,7.4,,,114,2005,"biography, crime, drama",69302,,,,,,,,,,,,"Hollywood DVD rental w/ Megs and Trix.

DATE: 2006-07-05",9/2/2005,http://www.imdb.com/title/tt0379725/,Mon Sep 19 12:00:00 2005,Wed Aug 10 16:04:03 2011,1497,,
Captain Blood,,0,,,,,,,Feature Film,Michael Curtiz,77,7.7,,,119,1935,"action, adventure",7447,,Y,,,,,,,,,,,12/19/1935,http://www.imdb.com/title/tt0026174/,,,931,911,
Captains Courageous,,0,,,,,,,Feature Film,Victor Fleming,78,7.8,,,115,1937,"adventure, drama, family",5078,,Y,,,,,,,,,,,5/11/1937,http://www.imdb.com/title/tt0028691/,,,910,841,
Caramel,,0,,,,,,,Feature Film,Nadine Labaki,77.3333333333333,7,92,70,95,2007,"comedy, drama, romance",7248,,,B,Y,2,,,Lebanese,No,LFPL Shiv Az Vu,No,,,,11/13/2013,,2903,,
Caravaggio,,0,,,,,,,Feature Film,Derek Jarman,67,6.7,,,93,1986,"biography, drama, history",2672,,Y,C,,,,,,Ne,,,,1986-02,http://www.imdb.com/title/tt0090798/,,,329,486,
Carlos,,0,,,,,,,Mini-Series,,76,7.6,,,334,2010,"biography, crime, drama, history, thriller",7532,,,,,,,,,,,,,5/19/2010,http://www.imdb.com/title/tt1321865/,Mon Jan 17 11:00:00 2011,Wed Aug 10 16:04:04 2011,2644,,
Carmen Jones,,0,,,,,,,Feature Film,Otto Preminger,70,6.8,72,n/a,105,1954,"drama, musical, romance",2490,,Y,F,,,,,,Ne,,,,10/5/1954,http://www.imdb.com/title/tt0046828/,,,761,690,
Caro diario,,0,,,,,,,Feature Film,Nanni Moretti,70,7,,,100,1993,"biography, comedy, drama",3851,,Y,,,,,,,,,,,11/12/1993,http://www.imdb.com/title/tt0109382/,,,231,197,
Carol Channing: Larger Than Life,,0,,,,,,,Documentary,Dori Berinstein,74.3333333333333,6.7,89,67,87,2012,"documentary, biography, comedy, music",132,,,,Y,,,,,,,,,1/20/2012,http://www.imdb.com/title/tt1737122/,Thu May  9 16:51:07 2013,Thu May  9 16:51:07 2013,2778,,
Carrie,,0,,,,,,,Feature Film,Brian De Palma,74,7.4,,,98,1976,"horror, thriller",78333,,Y,,,,,,,,,,,11/3/1976,http://www.imdb.com/title/tt0074285/,,,447,441,
Carrington,9,0,,,,,,,Feature Film,Christopher Hampton,66,6.6,,,121,1995,"biography, drama",3849,,,,,,,,,,,,,5/2/1995,http://www.imdb.com/title/tt0112637/,Sun May  5 19:51:59 2013,Sun May  5 19:51:59 2013,2026,,
Cars,9,0,,,,,,,Feature Film,"John Lasseter, Joe Ranft",72,7.2,,,117,2006,"animation, adventure, comedy, family, sport",157310,,,,,,,,,,,,"Hollywood 27. First of two movies on a sat afternoon. Better than Pirates 2.

DATE: 2006-07-08",3/14/2006,http://www.imdb.com/title/tt0317219/,Sat Jul  8 12:00:00 2006,Wed Aug 10 16:04:03 2011,1534,,
Casablanca,8,0,,,,,,,Feature Film,Michael Curtiz,87,8.7,,,102,1942,"drama, romance, war",268195,Y,Y,,,,,,,,,,,11/26/1942,http://www.imdb.com/title/tt0034583/,,,97,774,
Case 39,8,0,,,,,,,Feature Film,Christian Alvart,61,6.1,,,109,2009,"horror, mystery, thriller",41657,,,,,,,,,,,,,8/13/2009,http://www.imdb.com/title/tt0795351/,Wed Mar  9 11:00:00 2011,Wed Aug 10 16:04:04 2011,1850,,
Cash Cab,,0,,,,,,,TV Series,Tom Cohen,75,7.5,,,30,2005,"game_show, reality_tv",1115,,,,,,,,,,,,,12/5/2005,http://www.imdb.com/title/tt0790825/,Mon Jan 11 11:00:00 2010,Wed Aug 10 16:04:04 2011,2583,,
Casino,7,0,,,,,,,Feature Film,Martin Scorsese,78.3333333333333,8.2,80,73,178,1995,"biography, crime, drama",207805,,Y,,,,,,,,,,,11/14/1995,http://www.imdb.com/title/tt0112641/,,,105,28,
Casino Jack,,0,,,,,,,Feature Film,George Hickenlooper,62,6.2,,,108,2010,"biography, comedy, crime, drama",11294,,,,,,,,,,,,,9/16/2010,http://www.imdb.com/title/tt1194417/,Fri Nov 12 11:00:00 2010,Wed Aug 10 16:04:04 2011,2637,,
Cast Away,9,0,,,,,,,Feature Film,Robert Zemeckis,76,7.6,,,143,2000,"adventure, drama",259114,,,,,,,,,,,,,12/7/2000,http://www.imdb.com/title/tt0162222/,Mon Nov 20 11:00:00 2000,Wed Aug 10 16:04:02 2011,1141,,
Castle,,0,,,,,,,TV Series,,82,8.2,,,43,2009,"comedy, crime, drama, mystery",69423,,,,,,,,,,,,,3/9/2009,http://www.imdb.com/title/tt1219024/,Tue Mar 23 12:00:00 2010,Wed Aug 10 16:04:04 2011,2603,,
Castle in the Sky,7,0,,,,,,,Feature Film,Hayao Miyazaki,80,8,,,124,1986,"animation, action, adventure, family, fantasy, romance",53869,,,,,,,,,,,,,8/2/1986,http://www.imdb.com/title/tt0092067/,Fri Aug 16 20:01:58 2013,Fri Aug 16 20:01:58 2013,2069,,
Cat People,,0,,,,,,,Feature Film,Jacques Tourneur,75,7.5,,,73,1942,"horror, mystery, thriller",8779,,Y,F,,,,,,,,,,12/6/1942,http://www.imdb.com/title/tt0034587/,,,870,924,
Catch a Fire,,0,,,,,,,Feature Film,Phillip Noyce,66,6.6,,,101,2006,"biography, drama, history",8447,,,,,,,,,,,,,9/2/2006,http://www.imdb.com/title/tt0437232/,Tue Aug 22 12:00:00 2006,Wed Aug 10 16:04:03 2011,2493,,
Catch Me If You Can,8,0,,,,,,,Feature Film,Steven Spielberg,79,7.9,,,141,2002,"biography, crime, drama",308509,,,,,,,,,,,,,12/16/2002,http://www.imdb.com/title/tt0264464/,Sat Dec 28 11:00:00 2002,Wed Aug 10 16:04:03 2011,1352,,
Catfish,,0,,,,,,,Documentary,"Henry Joost, Ariel Schulman",70,7,,,87,2010,documentary,25076,,,,,,,,,,,,,1/22/2010,http://www.imdb.com/title/tt1584016/,Tue Sep 21 12:00:00 2010,Wed Aug 10 16:04:04 2011,2630,,
Catwoman,6,0,,,,,,,Feature Film,Pitof,32,3.2,,,104,2004,"action, fantasy",66496,,,,,,,,,,,,"Predictable for the most part, cheesy action, but not horrible altogether.

DATE: 2005-06-11",7/19/2004,http://www.imdb.com/title/tt0327554/,Sat Sep 20 12:00:00 2003,Wed Aug 10 16:04:03 2011,1385,,
