"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"251","tt0257106","Tue Nov 15 06:11:54 2011","Tue Nov 15 06:11:54 2011","","Scary Movie 2","Feature Film","Keenen Ivory Wayans","5.2","83","2001","comedy","106629","2001-07-04","http://www.imdb.com/title/tt0257106/"
"252","tt0306047","Tue Nov 15 06:12:12 2011","Tue Nov 15 06:12:12 2011","","Scary Movie 3","Feature Film","David Zucker","5.4","84","2003","comedy","100323","2003-10-20","http://www.imdb.com/title/tt0306047/"
"253","tt0362120","Tue Nov 15 06:12:27 2011","Tue Nov 15 06:12:27 2011","","Scary Movie 4","Feature Film","David Zucker","5.1","83","2006","comedy","84910","2006-04-12","http://www.imdb.com/title/tt0362120/"
"254","tt0795461","Tue Nov 15 06:12:52 2011","Tue Nov 15 06:12:52 2011","","Scary Movie 5","Feature Film","Malcolm D. Lee","3.5","86","2013","comedy","43467","2013-04-11","http://www.imdb.com/title/tt0795461/"
"255","tt0298130","Tue Nov 15 06:13:07 2011","Tue Nov 15 06:13:07 2011","","The Ring","Feature Film","Gore Verbinski","7.1","115","2002","horror, mystery","218220","2002-10-02","http://www.imdb.com/title/tt0298130/"
"256","tt0377109","Tue Nov 15 06:13:12 2011","Tue Nov 15 06:13:12 2011","","The Ring Two","Feature Film","Hideo Nakata","5.4","110","2005","horror, mystery, thriller","63720","2005-03-17","http://www.imdb.com/title/tt0377109/"
"257","tt0072271","Tue Nov 15 06:14:32 2011","Tue Nov 15 06:14:32 2011","","The Texas Chain Saw Massacre","Feature Film","Tobe Hooper","7.5","83","1974","horror, thriller","83959","1974-10-01","http://www.imdb.com/title/tt0072271/"
"258","tt0092076","Tue Nov 15 06:14:42 2011","Tue Nov 15 06:14:42 2011","","The Texas Chainsaw Massacre 2","Feature Film","Tobe Hooper","5.5","101","1986","comedy, horror","17037","1986-08-22","http://www.imdb.com/title/tt0092076/"
"259","tt0099994","Tue Nov 15 06:14:56 2011","Tue Nov 15 06:14:56 2011","","Leatherface: Texas Chainsaw Massacre III","Feature Film","Jeff Burr","5.1","85","1990","horror, thriller","8666","1990-01-12","http://www.imdb.com/title/tt0099994/"
"260","tt0110978","Tue Nov 15 06:15:23 2011","Tue Nov 15 06:15:23 2011","","Texas Chainsaw Massacre: The Next Generation","Feature Film","Kim Henkel","3.0","95","1994","comedy, horror, thriller","13953","1994-10-07","http://www.imdb.com/title/tt0110978/"
"261","tt0324216","Tue Nov 15 06:15:34 2011","Tue Nov 15 06:15:34 2011","","The Texas Chainsaw Massacre","Feature Film","Marcus Nispel","6.2","98","2003","horror","98458","2003-10-15","http://www.imdb.com/title/tt0324216/"
"262","tt0420294","Tue Nov 15 06:16:02 2011","Tue Nov 15 06:16:02 2011","","The Texas Chainsaw Massacre: The Beginning","Feature Film","Jonathan Liebesman","5.9","91","2006","horror","51162","2006-10-05","http://www.imdb.com/title/tt0420294/"
"263","tt0212338","Tue Nov 15 06:21:32 2011","Tue Nov 15 06:21:32 2011","","Meet the Parents","Feature Film","Jay Roach","7.0","108","2000","comedy","235750","2000-10-06","http://www.imdb.com/title/tt0212338/"
"264","tt0290002","Tue Nov 15 06:21:41 2011","Tue Nov 15 06:21:41 2011","","Meet the Fockers","Feature Film","Jay Roach","6.3","115","2004","comedy, romance","190558","2004-12-16","http://www.imdb.com/title/tt0290002/"
"265","tt0970866","Tue Nov 15 06:21:51 2011","Tue Nov 15 06:21:51 2011","","Little Fockers","Feature Film","Paul Weitz","5.4","98","2010","comedy, romance","75187","2010-12-22","http://www.imdb.com/title/tt0970866/"
"266","tt0184894","Tue Nov 15 06:22:07 2011","Tue Nov 15 06:22:07 2011","","Shanghai Noon","Feature Film","Tom Dey","6.6","110","2000","action, adventure, comedy, western","85890","2000-05-19","http://www.imdb.com/title/tt0184894/"
"267","tt0300471","Tue Nov 15 06:22:16 2011","Tue Nov 15 06:22:16 2011","","Shanghai Knights","Feature Film","David Dobkin","6.2","114","2003","action, adventure, comedy","71560","2003-01-30","http://www.imdb.com/title/tt0300471/"
"268","tt0118615","Tue Nov 15 06:22:54 2011","Tue Nov 15 06:22:54 2011","","Anaconda","Feature Film","Luis Llosa","4.6","89","1997","adventure, horror, thriller","65489","1997-04-11","http://www.imdb.com/title/tt0118615/"
"269","tt0366174","Tue Nov 15 06:23:07 2011","Tue Nov 15 06:23:07 2011","","Anacondas: The Hunt for the Blood Orchid","Feature Film","Dwight Little","4.5","97","2004","adventure, horror, thriller","19853","2004-08-25","http://www.imdb.com/title/tt0366174/"
"270","tt1137996","Tue Nov 15 06:23:14 2011","Tue Nov 15 06:23:14 2011","","Anaconda: The Offspring","TV Movie","Don E. Fauntleroy","2.7","91","2008","action, horror, sci_fi, thriller","4975","2008-07-26","http://www.imdb.com/title/tt1137996/"
"271","tt1150934","Tue Nov 15 06:23:30 2011","Tue Nov 15 06:23:30 2011","","Anacondas: Trail of Blood","TV Movie","Don E. FauntLeRoy","3.0","89","2009","action, horror, sci_fi, thriller","2813","2009-02-28","http://www.imdb.com/title/tt1150934/"
"272","tt0159273","Tue Nov 15 06:24:16 2011","Tue Nov 15 06:24:16 2011","","Behind Enemy Lines","Feature Film","John Moore","6.4","106","2001","action, war, drama, thriller","79492","2001-11-17","http://www.imdb.com/title/tt0159273/"
"273","tt0497329","Tue Nov 15 06:24:22 2011","Tue Nov 15 06:24:22 2011","","Behind Enemy Lines II: Axis of Evil","Video","James Dodson","4.5","96","2006","action, thriller, war","4650","2006-01-08","http://www.imdb.com/title/tt0497329/"
"274","tt1208647","Tue Nov 15 06:24:31 2011","Tue Nov 15 06:24:31 2011","","Behind Enemy Lines: Colombia","Video","Tim Matheson","4.8","94","2009","action, thriller, war","3604","2009-01-06","http://www.imdb.com/title/tt1208647/"
"275","tt0419946","Tue Nov 15 06:24:48 2011","Tue Nov 15 06:24:48 2011","","The Marine","Feature Film","John Bonito","4.6","92","2006","action, drama, thriller","25173","2006-10-03","http://www.imdb.com/title/tt0419946/"
"276","tt1266027","Tue Nov 15 06:25:05 2011","Tue Nov 15 06:25:05 2011","","The Marine 2","Video","Roel Reiné","5.0","95","2009","action, drama, thriller","3892","2009-12-29","http://www.imdb.com/title/tt1266027/"
"277","tt0351977","Tue Nov 15 06:25:31 2011","Tue Nov 15 06:25:31 2011","","Walking Tall","Feature Film","Kevin Bray","6.2","86","2004","action, crime","46915","2004-04-02","http://www.imdb.com/title/tt0351977/"
"278","tt0804550","Tue Nov 15 06:25:51 2011","Tue Nov 15 06:25:51 2011","","Walking Tall: The Payback","Video","Tripp Reed","4.7","88","2007","action, adventure, crime, drama, thriller","1365","2007-02-13","http://www.imdb.com/title/tt0804550/"
"279","tt0804551","Tue Nov 15 06:25:57 2011","Tue Nov 15 06:25:57 2011","","Walking Tall: Lone Justice","Video","Tripp Reed","5.0","95","2007","action, crime, drama, thriller","1215","2007-09-12","http://www.imdb.com/title/tt0804551/"
"280","tt0070895","Tue Nov 15 06:26:33 2011","Tue Nov 15 06:26:33 2011","","Walking Tall","Feature Film","Phil Karlson","6.9","125","1973","action, crime, drama, thriller","3018","1973-02-22","http://www.imdb.com/title/tt0070895/"
"281","tt0073880","Tue Nov 15 06:26:44 2011","Tue Nov 15 06:26:44 2011","","Walking Tall Part II","Feature Film","Earl Bellamy","6.0","109","1975","action, biography, crime, drama, thriller","704","1975-09-28","http://www.imdb.com/title/tt0073880/"
"282","tt0076028","Tue Nov 15 06:26:53 2011","Tue Nov 15 06:26:53 2011","","Final Chapter: Walking Tall","Feature Film","Jack Starrett","5.7","112","1977","action, crime, drama","523","1977-08-10","http://www.imdb.com/title/tt0076028/"
"283","tt0452702","Tue Nov 15 06:29:05 2011","Tue Nov 15 06:29:05 2011","","Vacancy","Feature Film","Nimród Antal","6.2","85","2007","horror, thriller","73219","2007-04-20","http://www.imdb.com/title/tt0452702/"
"284","tt1204979","Tue Nov 15 06:29:19 2011","Tue Nov 15 06:29:19 2011","","Vacancy 2: The First Cut","Video","Eric Bross","4.9","86","2008","horror, thriller","5135","2008-10-24","http://www.imdb.com/title/tt1204979/"
"285","tt0450278","Tue Nov 15 06:29:49 2011","Tue Nov 15 06:29:49 2011","","Hostel","Feature Film","Eli Roth","5.9","94","2005","horror","125514","2005-09-17","http://www.imdb.com/title/tt0450278/"
"286","tt0498353","Tue Nov 15 06:30:00 2011","Tue Nov 15 06:30:00 2011","","Hostel: Part II","Feature Film","Eli Roth","5.4","94","2007","horror","63095","2007-06-07","http://www.imdb.com/title/tt0498353/"
"287","tt1255916","Tue Nov 15 06:30:12 2011","Tue Nov 15 06:30:12 2011","","Hostel: Part III","Video","Scott Spiegel","4.6","88","2011","horror, mystery, thriller","16961","2011-12-22","http://www.imdb.com/title/tt1255916/"
"288","tt0160127","Tue Nov 15 06:31:29 2011","Tue Nov 15 06:31:29 2011","","Charlie's Angels","Feature Film","McG","5.5","98","2000","action, adventure, comedy, crime, thriller","134125","2000-10-22","http://www.imdb.com/title/tt0160127/"
"289","tt0305357","Tue Nov 15 06:31:53 2011","Tue Nov 15 06:31:53 2011","","Charlie's Angels: Full Throttle","Feature Film","McG","4.8","106","2003","action, adventure, comedy, crime","93542","2003-06-18","http://www.imdb.com/title/tt0305357/"
"290","tt0112442","Tue Nov 15 06:33:54 2011","Tue Nov 15 06:33:54 2011","","Bad Boys","Feature Film","Michael Bay","6.8","118","1995","action, comedy, crime, drama, thriller","149791","1995-04-07","http://www.imdb.com/title/tt0112442/"
"291","tt0172156","Tue Nov 15 06:34:00 2011","Tue Nov 15 06:34:00 2011","","Bad Boys II","Feature Film","Michael Bay","6.5","147","2003","action, comedy, crime, thriller","159227","2003-07-09","http://www.imdb.com/title/tt0172156/"
"292","tt1502397","Tue Nov 15 06:34:35 2011","Tue Nov 15 06:34:35 2011","","Bad Boys 3","Feature Film","Michael Bay","","","????","action, crime, thriller","","","http://www.imdb.com/title/tt1502397/"
"293","tt0208003","Tue Nov 15 06:34:52 2011","Tue Nov 15 06:34:52 2011","","Big Momma's House","Feature Film","Raja Gosnell","5.0","99","2000","action, comedy, crime","60580","2000-05-31","http://www.imdb.com/title/tt0208003/"
"294","tt0421729","Tue Nov 15 06:34:59 2011","Tue Nov 15 06:34:59 2011","","Big Momma's House 2","Feature Film","John Whitesell","4.5","99","2006","comedy, crime","28259","2006-01-26","http://www.imdb.com/title/tt0421729/"
"295","tt1464174","Tue Nov 15 06:35:11 2011","Tue Nov 15 06:35:11 2011","","Big Mommas: Like Father, Like Son","Feature Film","John Whitesell","4.3","107","2011","action, comedy, crime","17237","2011-02-16","http://www.imdb.com/title/tt1464174/"
"296","tt0400717","Tue Nov 15 06:35:43 2011","Tue Nov 15 06:35:43 2011","","Open Season","Feature Film","Roger Allers, Jill Culton","6.2","83","2006","animation, adventure, comedy, family","57208","2006-09-27","http://www.imdb.com/title/tt0400717/"
"297","tt1107365","Tue Nov 15 06:36:12 2011","Tue Nov 15 06:36:12 2011","","Open Season 2","Feature Film","Matthew O'Callaghan, Todd Wilderman","5.6","76","2008","animation, adventure, comedy, family","13952","2008-09-24","http://www.imdb.com/title/tt1107365/"
"298","tt1646926","Tue Nov 15 06:36:27 2011","Tue Nov 15 06:36:27 2011","","Open Season 3","Feature Film","Cody Cameron","5.1","75","2010","animation, adventure, comedy, family","5214","2010-10-21","http://www.imdb.com/title/tt1646926/"
"299","tt0391198","Wed Nov 16 05:18:47 2011","Wed Nov 16 05:18:47 2011","","The Grudge","Feature Film","Takashi Shimizu","5.9","92","2004","horror, mystery, thriller","102208","2004-10-22","http://www.imdb.com/title/tt0391198/"
"300","tt0433386","Wed Nov 16 05:18:57 2011","Wed Nov 16 05:18:57 2011","","The Grudge 2","Feature Film","Takashi Shimizu","4.9","102","2006","horror, thriller","34592","2006-10-12","http://www.imdb.com/title/tt0433386/"
"301","tt1053859","Wed Nov 16 05:19:04 2011","Wed Nov 16 05:19:04 2011","","The Grudge 3","Feature Film","Toby Wilkins","4.7","90","2009","horror, mystery, thriller","10893","2009-05-12","http://www.imdb.com/title/tt1053859/"
"302","tt0283111","Wed Nov 16 05:25:44 2011","Wed Nov 16 05:25:44 2011","","Van Wilder","Feature Film","Walt Becker","6.4","92","2002","comedy, romance","81822","2002-04-04","http://www.imdb.com/title/tt0283111/"
"303","tt0480271","Wed Nov 16 05:25:51 2011","Wed Nov 16 05:25:51 2011","","Van Wilder 2: The Rise of Taj","Feature Film","Mort Nathan","4.7","97","2006","comedy, romance","17441","2006-12-01","http://www.imdb.com/title/tt0480271/"
"304","tt1276434","Wed Nov 16 05:26:04 2011","Wed Nov 16 05:26:04 2011","","Van Wilder: Freshman Year","Video","Harv Glazer","5.3","98","2009","comedy","10081","2009-07-14","http://www.imdb.com/title/tt1276434/"
"305","tt0289879","Wed Nov 16 05:26:32 2011","Wed Nov 16 05:26:32 2011","","The Butterfly Effect","Feature Film","Eric Bress, J. Mackye Gruber","7.7","113","2004","sci_fi, thriller","313667","2004-01-22","http://www.imdb.com/title/tt0289879/"
"306","tt0457297","Wed Nov 16 05:26:48 2011","Wed Nov 16 05:26:48 2011","","The Butterfly Effect 2","Feature Film","John R. Leonetti","4.4","92","2006","drama, sci_fi, thriller","26847","2006-08-10","http://www.imdb.com/title/tt0457297/"
"307","tt1234541","Wed Nov 16 05:26:56 2011","Wed Nov 16 05:26:56 2011","","The Butterfly Effect 3: Revelations","Feature Film","Seth Grossman","5.6","90","2009","crime, drama, sci_fi, thriller","13977","2009-01-09","http://www.imdb.com/title/tt1234541/"
"308","tt0366551","Wed Nov 16 05:27:28 2011","Wed Nov 16 05:27:28 2011","","Harold & Kumar Go to White Castle","Feature Film","Danny Leiner","7.2","88","2004","adventure, comedy","142935","2004-05-20","http://www.imdb.com/title/tt0366551/"
"309","tt0481536","Wed Nov 16 05:27:34 2011","Wed Nov 16 05:27:34 2011","","Harold & Kumar Escape from Guantanamo Bay","Feature Film","Jon Hurwitz, Hayden Schlossberg","6.7","104","2008","adventure, comedy","105681","2008-04-24","http://www.imdb.com/title/tt0481536/"
"310","tt1268799","Wed Nov 16 05:27:51 2011","Wed Nov 16 05:27:51 2011","","A Very Harold & Kumar 3D Christmas","Feature Film","Todd Strauss-Schulson","6.3","90","2011","comedy","49945","2011-11-04","http://www.imdb.com/title/tt1268799/"
"311","tt0164052","Wed Nov 16 05:28:49 2011","Wed Nov 16 05:28:49 2011","","Hollow Man","Feature Film","Paul Verhoeven","5.7","112","2000","sci_fi, thriller","94119","2000-08-02","http://www.imdb.com/title/tt0164052/"
"312","tt0469916","Wed Nov 16 05:28:55 2011","Wed Nov 16 05:28:55 2011","","Hollow Man II","Video","Claudio Faeh","4.4","91","2006","action, horror, sci_fi, thriller","7077","2006-05-23","http://www.imdb.com/title/tt0469916/"
"313","tt0120201","Wed Nov 16 05:29:16 2011","Wed Nov 16 05:29:16 2011","","Starship Troopers","Feature Film","Paul Verhoeven","7.2","129","1997","action, sci_fi","201074","1997-11-04","http://www.imdb.com/title/tt0120201/"
"314","tt0367093","Wed Nov 16 05:29:27 2011","Wed Nov 16 05:29:27 2011","","Starship Troopers 2: Hero of the Federation","Video","Phil Tippett","3.5","88","2004","action, adventure, horror, sci_fi","17074","2004-04-24","http://www.imdb.com/title/tt0367093/"
"315","tt0844760","Wed Nov 16 05:29:40 2011","Wed Nov 16 05:29:40 2011","","Starship Troopers 3: Marauder","Feature Film","Ed Neumeier","4.4","105","2008","action, adventure, sci_fi","18095","2008-07-19","http://www.imdb.com/title/tt0844760/"
"316","tt0268380","Thu Nov 17 22:31:41 2011","Thu Nov 17 22:31:41 2011","","Ice Age","Feature Film","Chris Wedge, Carlos Saldanha","7.6","81","2002","animation, adventure, comedy, family","279392","2002-03-12","http://www.imdb.com/title/tt0268380/"
"317","tt0438097","Thu Nov 17 22:31:51 2011","Thu Nov 17 22:31:51 2011","","Ice Age: The Meltdown","Feature Film","Carlos Saldanha","6.9","91","2006","animation, action, adventure, comedy, family, fantasy","161681","2006-03-01","http://www.imdb.com/title/tt0438097/"
"318","tt1080016","Thu Nov 17 22:32:05 2011","Thu Nov 17 22:32:05 2011","","Ice Age: Dawn of the Dinosaurs","Feature Film","Carlos Saldanha, Mike Thurmeier","7.0","94","2009","animation, action, adventure, comedy, family","138866","2009-07-01","http://www.imdb.com/title/tt1080016/"
"319","tt2100546","Thu Nov 17 22:32:52 2011","Thu Nov 17 22:32:52 2011","","Ice Age: A Mammoth Christmas","Short Film","Karen Disher","6.5","26","2011","animation, adventure, family","7108","2011-11-24","http://www.imdb.com/title/tt2100546/"
"320","tt1667889","Thu Nov 17 22:33:00 2011","Thu Nov 17 22:33:00 2011","","Ice Age: Continental Drift","Feature Film","Steve Martino, Michael Thurmeier","6.7","88","2012","animation, adventure, comedy, family","121330","2012-06-26","http://www.imdb.com/title/tt1667889/"
"321","tt0351283","Thu Nov 17 22:33:31 2011","Thu Nov 17 22:33:31 2011","","Madagascar","Feature Film","Eric Darnell, Tom McGrath","6.9","86","2005","animation, adventure, comedy, family","223690","2005-05-25","http://www.imdb.com/title/tt0351283/"
"322","tt0479952","Thu Nov 17 22:33:38 2011","Thu Nov 17 22:33:38 2011","","Madagascar: Escape 2 Africa","Feature Film","Eric Darnell, Tom McGrath","6.7","89","2008","animation, action, adventure, comedy, family","120191","2008-10-30","http://www.imdb.com/title/tt0479952/"
"323","tt1277953","Thu Nov 17 22:36:20 2011","Thu Nov 17 22:36:20 2011","","Madagascar 3: Europe's Most Wanted","Feature Film","Eric Darnell, Tom McGrath","7.0","93","2012","animation, adventure, comedy, family, fantasy","100514","2012-05-18","http://www.imdb.com/title/tt1277953/"
"324","tt0441773","Thu Nov 17 22:36:50 2011","Thu Nov 17 22:36:50 2011","","Kung Fu Panda","Feature Film","Mark Osborne, John Stevenson","7.6","92","2008","animation, action, adventure, comedy, family","254513","2008-05-15","http://www.imdb.com/title/tt0441773/"
"325","tt1302011","Thu Nov 17 22:36:58 2011","Thu Nov 17 22:36:58 2011","","Kung Fu Panda 2","Feature Film","Jennifer Yuh Nelson","7.3","91","2011","animation, action, adventure, comedy, drama, family","145964","2011-05-22","http://www.imdb.com/title/tt1302011/"
"326","tt0317219","Thu Nov 17 23:06:35 2011","Thu Nov 17 23:06:35 2011","","Cars","Feature Film","John Lasseter, Joe Ranft","7.2","117","2006","animation, adventure, comedy, family, sport","213152","2006-03-14","http://www.imdb.com/title/tt0317219/"
"327","tt1216475","Thu Nov 17 23:06:43 2011","Thu Nov 17 23:06:43 2011","","Cars 2","Feature Film","John Lasseter, Brad Lewis","6.3","106","2011","animation, adventure, comedy, family","85224","2011-06-18","http://www.imdb.com/title/tt1216475/"
"328","tt0110357","Thu Nov 17 23:07:24 2011","Thu Nov 17 23:07:24 2011","","The Lion King","Feature Film","Roger Allers, Rob Minkoff","8.5","89","1994","animation, adventure, drama, family, musical","521726","1994-06-15","http://www.imdb.com/title/tt0110357/"
"329","tt0120131","Thu Nov 17 23:07:30 2011","Thu Nov 17 23:07:30 2011","","The Lion King 2: Simba's Pride","Video","Darrell Rooney, Rob LaDuca","6.4","81","1998","animation, adventure, family, musical, romance","36266","1998-10-27","http://www.imdb.com/title/tt0120131/"
"330","tt0318403","Thu Nov 17 23:07:39 2011","Thu Nov 17 23:07:39 2011","","The Lion King 1 1/2","Video","Bradley Raymond","6.6","77","2004","animation, comedy, family, adventure","21181","2004-02-10","http://www.imdb.com/title/tt0318403/"
"331","tt0097757","Thu Nov 17 23:09:30 2011","Thu Nov 17 23:09:30 2011","","The Little Mermaid","Feature Film","Ron Clements, John Musker","7.6","83","1989","animation, family, fantasy, musical, romance","141087","1989-11-15","http://www.imdb.com/title/tt0097757/"
"332","tt0240684","Thu Nov 17 23:09:47 2011","Thu Nov 17 23:09:47 2011","","The Little Mermaid 2: Return to the Sea","Video","Jim Kammerud, Brian Smith","5.6","75","2000","animation, drama, family, fantasy, musical","9825","2000-08-31","http://www.imdb.com/title/tt0240684/"
"333","tt0969647","Thu Nov 17 23:10:39 2011","Thu Nov 17 23:10:39 2011","","The Little Mermaid: Ariel's Beginning","Video","Peggy Holmes","6.5","77","2008","animation, drama, family, fantasy","4267","2008-08-26","http://www.imdb.com/title/tt0969647/"
"334","tt0337697","Thu Nov 17 23:11:21 2011","Thu Nov 17 23:11:21 2011","","The Prince and Me","Feature Film","Martha Coolidge","5.9","111","2004","comedy, romance","28381","2004-03-28","http://www.imdb.com/title/tt0337697/"
"335","tt0477072","Thu Nov 17 23:11:31 2011","Thu Nov 17 23:11:31 2011","","The Prince & Me II: The Royal Wedding","Video","Catherine Cyran","4.2","96","2006","comedy, family, romance","3544","2006-02-21","http://www.imdb.com/title/tt0477072/"
"336","tt1094198","Thu Nov 17 23:11:48 2011","Thu Nov 17 23:11:48 2011","","The Prince & Me 3: A Royal Honeymoon","Video","Catherine Cyran","4.1","92","2008","comedy, family, romance","1302","2008-10-28","http://www.imdb.com/title/tt1094198/"
"337","tt1340161","Thu Nov 17 23:12:06 2011","Thu Nov 17 23:12:06 2011","","The Prince & Me: The Elephant Adventure","Video","Catherine Cyran","4.8","","2010","comedy, romance","768","2010-02-15","http://www.imdb.com/title/tt1340161/"
"338","tt0247638","Thu Nov 17 23:12:54 2011","Thu Nov 17 23:12:54 2011","","The Princess Diaries","Feature Film","Garry Marshall","6.2","115","2001","comedy, family, romance","78657","2001-07-29","http://www.imdb.com/title/tt0247638/"
"339","tt0368933","Thu Nov 17 23:13:11 2011","Thu Nov 17 23:13:11 2011","","The Princess Diaries 2: Royal Engagement","Feature Film","Garry Marshall","5.6","113","2004","comedy, drama, family, romance, thriller","43996","2004-08-07","http://www.imdb.com/title/tt0368933/"
"340","tt0243155","Thu Nov 17 23:13:48 2011","Thu Nov 17 23:13:48 2011","","Bridget Jones's Diary","Feature Film","Sharon Maguire","6.7","97","2001","comedy, drama, romance","149395","2001-04-04","http://www.imdb.com/title/tt0243155/"
"341","tt0317198","Thu Nov 17 23:14:18 2011","Thu Nov 17 23:14:18 2011","","Bridget Jones: The Edge of Reason","Feature Film","Beeban Kidron","5.9","108","2004","comedy, drama, romance","62556","2004-11-08","http://www.imdb.com/title/tt0317198/"
"342","tt1473832","Thu Nov 17 23:14:46 2011","Thu Nov 17 23:14:46 2011","","Bridget Jones's Baby","Feature Film","Peter Cattaneo","","","????","comedy, romance","","","http://www.imdb.com/title/tt1473832/"
"343","tt0120762","Thu Nov 17 23:15:52 2011","Thu Nov 17 23:15:52 2011","","Mulan","Feature Film","Tony Bancroft, Barry Cook","7.5","88","1998","animation, adventure, family, musical, war","139484","1998-06-05","http://www.imdb.com/title/tt0120762/"
"344","tt0279967","Thu Nov 17 23:16:02 2011","Thu Nov 17 23:16:02 2011","","Mulan II","Video","Darrell Rooney, Lynne Southerland","5.7","79","2004","animation, action, comedy, family, musical","10906","2004-11-03","http://www.imdb.com/title/tt0279967/"
"345","tt0034492","Thu Nov 17 23:16:43 2011","Thu Nov 17 23:16:43 2011","","Bambi","Feature Film","James Algar, Sam Armstrong","7.4","70","1942","animation, family","78255","1942-08-08","http://www.imdb.com/title/tt0034492/"
"346","tt0447854","Thu Nov 17 23:17:00 2011","Thu Nov 17 23:17:00 2011","","Bambi II","Feature Film","Brian Pimental","6.1","75","2006","animation, drama, family","5831","2006-01-26","http://www.imdb.com/title/tt0447854/"
"347","tt0258463","Thu Nov 17 23:17:29 2011","Thu Nov 17 23:17:29 2011","","The Bourne Identity","Feature Film","Doug Liman","7.9","119","2002","action, mystery, thriller","351422","2002-06-06","http://www.imdb.com/title/tt0258463/"
"348","tt0372183","Thu Nov 17 23:17:42 2011","Thu Nov 17 23:17:42 2011","","The Bourne Supremacy","Feature Film","Paul Greengrass","7.8","108","2004","action, thriller","298199","2004-07-15","http://www.imdb.com/title/tt0372183/"
"349","tt0440963","Thu Nov 17 23:17:50 2011","Thu Nov 17 23:17:50 2011","","The Bourne Ultimatum","Feature Film","Paul Greengrass","8.1","115","2007","action, thriller","418455","2007-07-25","http://www.imdb.com/title/tt0440963/"
"350","tt1194173","Thu Nov 17 23:18:39 2011","Thu Nov 17 23:18:39 2011","","The Bourne Legacy","Feature Film","Tony Gilroy","6.7","135","2012","action, adventure, mystery, thriller","200769","2012-07-30","http://www.imdb.com/title/tt1194173/"
"351","tt0082406","Thu Nov 17 23:19:26 2011","Thu Nov 17 23:19:26 2011","","The Fox and the Hound","Feature Film","Ted Berman, Richard Rich","7.3","83","1981","animation, adventure, drama, family","55159","1981-07-10","http://www.imdb.com/title/tt0082406/"
"352","tt0465997","Thu Nov 17 23:19:36 2011","Thu Nov 17 23:19:36 2011","","The Fox and the Hound 2","Video","Jim Kammerud","5.5","69","2006","animation, adventure, comedy, family","2195","2006-11-09","http://www.imdb.com/title/tt0465997/"
"353","tt0118767","Thu Nov 17 23:20:11 2011","Thu Nov 17 23:20:11 2011","","Brother","Feature Film","Aleksey Balabanov","8.0","96","1997","crime, drama","8479","1997-05-17","http://www.imdb.com/title/tt0118767/"
"354","tt0238883","Thu Nov 17 23:20:55 2011","Thu Nov 17 23:20:55 2011","","Brother 2","Feature Film","Aleksey Balabanov","7.9","122","2000","action, crime, thriller","6065","2000-05-11","http://www.imdb.com/title/tt0238883/"
"355","tt0328880","Thu Nov 17 23:21:22 2011","Thu Nov 17 23:21:22 2011","","Brother Bear","Feature Film","Aaron Blaise, Robert Walker","6.7","85","2003","animation, adventure, family, fantasy","58610","2003-10-20","http://www.imdb.com/title/tt0328880/"
"356","tt0465925","Thu Nov 17 23:21:29 2011","Thu Nov 17 23:21:29 2011","","Brother Bear 2","Video","Ben Gluck","6.2","74","2006","animation, adventure, comedy, family, fantasy","6547","2006-08-17","http://www.imdb.com/title/tt0465925/"
"357","tt0099277","Thu Nov 17 23:21:52 2011","Thu Nov 17 23:21:52 2011","","Class of 1999","Feature Film","Mark L. Lester","5.7","99","1990","action, horror, sci_fi","4051","1990-05-11","http://www.imdb.com/title/tt0099277/"
"358","tt0109442","Thu Nov 17 23:22:14 2011","Thu Nov 17 23:22:14 2011","","Class of 1999 II: The Substitute","Feature Film","Spiro Razatos","4.1","87","1994","action, horror, sci_fi, thriller","890","1994-03-29","http://www.imdb.com/title/tt0109442/"
"359","tt1133985","Thu Nov 17 23:22:38 2011","Thu Nov 17 23:22:38 2011","","Green Lantern","Feature Film","Martin Campbell","5.7","114","2011","action, adventure, sci_fi, thriller","197411","2011-06-14","http://www.imdb.com/title/tt1133985/"
"361","tt1384590","Thu Nov 17 23:23:05 2011","Thu Nov 17 23:23:05 2011","","Green Lantern: First Flight","Video","Lauren Montgomery","7.2","77","2009","animation, action, adventure, fantasy, sci_fi","8938","2009-07-28","http://www.imdb.com/title/tt1384590/"
"362","tt1683043","Thu Nov 17 23:23:23 2011","Thu Nov 17 23:23:23 2011","","Green Lantern: Emerald Knights","Video","Christopher Berkeley, Lauren Montgomery","6.9","84","2011","animation, action, adventure, fantasy, sci_fi","7187","2011-04-09","http://www.imdb.com/title/tt1683043/"
"363","tt0800320","Thu Nov 17 23:55:11 2011","Thu Nov 17 23:55:11 2011","","Clash of the Titans","Feature Film","Louis Leterrier","5.8","106","2010","action, adventure, fantasy","208437","2010-03-26","http://www.imdb.com/title/tt0800320/"
"364","tt1646987","Thu Nov 17 23:55:21 2011","Thu Nov 17 23:55:21 2011","","Wrath of the Titans","Feature Film","Jonathan Liebesman","5.8","99","2012","action, adventure, fantasy","137628","2012-03-28","http://www.imdb.com/title/tt1646987/"
